,index,Rs income in constant $,Rs job is secure,Respondents income,Number of hours usually work a week,General happiness,income
3892,3892,96450,,$25000 or more,,Very happy,96450.0
3895,3895,22206,,$8000 to 9999,,Pretty happy,22206.0
3896,3896,96450,,$25000 or more,,Pretty happy,96450.0
3900,3900,4935,,$1000 to 2999,,Pretty happy,4935.0
3902,3902,22206,,$8000 to 9999,40,Pretty happy,22206.0
3907,3907,96450,,$25000 or more,,Very happy,96450.0
3908,3908,96450,,$25000 or more,,Pretty happy,96450.0
3909,3909,1234,,Lt $1000,,Pretty happy,1234.0
3911,3911,30841,,$10000 - 14999,,Pretty happy,30841.0
3913,3913,13570,,$5000 to 5999,70,Pretty happy,13570.0
3915,3915,22206,,$8000 to 9999,,Pretty happy,22206.0
3916,3916,4935,,$1000 to 2999,,Pretty happy,4935.0
3918,3918,4935,,$1000 to 2999,,Pretty happy,4935.0
3922,3922,43178,,$15000 - 19999,,Pretty happy,43178.0
3926,3926,16038,,$6000 to 6999,,Pretty happy,16038.0
3927,3927,22206,,$8000 to 9999,,Pretty happy,22206.0
3928,3928,30841,,$10000 - 14999,,Pretty happy,30841.0
3930,3930,16038,,$6000 to 6999,,Not too happy,16038.0
3931,3931,30841,,$10000 - 14999,,Pretty happy,30841.0
3932,3932,30841,,$10000 - 14999,,Pretty happy,30841.0
3935,3935,4935,,$1000 to 2999,,Very happy,4935.0
3937,3937,22206,,$8000 to 9999,,Pretty happy,22206.0
3938,3938,13570,,$5000 to 5999,,Pretty happy,13570.0
3940,3940,11103,,$4000 to 4999,,Pretty happy,11103.0
3941,3941,13570,,$5000 to 5999,,Pretty happy,13570.0
3942,3942,30841,,$10000 - 14999,,Pretty happy,30841.0
3945,3945,4935,,$1000 to 2999,,Very happy,4935.0
3946,3946,4935,,$1000 to 2999,,Very happy,4935.0
3947,3947,96450,,$25000 or more,,Pretty happy,96450.0
3950,3950,1234,,Lt $1000,,Very happy,1234.0
3951,3951,4935,,$1000 to 2999,,Pretty happy,4935.0
3952,3952,22206,,$8000 to 9999,,Very happy,22206.0
3954,3954,4935,,$1000 to 2999,,Very happy,4935.0
3955,3955,1234,,Lt $1000,40,Not too happy,1234.0
3956,3956,4935,,$1000 to 2999,,Pretty happy,4935.0
3958,3958,30841,,$10000 - 14999,,Pretty happy,30841.0
3960,3960,4935,,$1000 to 2999,,Pretty happy,4935.0
3961,3961,30841,,$10000 - 14999,,Pretty happy,30841.0
3962,3962,16038,,$6000 to 6999,,Pretty happy,16038.0
3963,3963,30841,,$10000 - 14999,,Very happy,30841.0
3965,3965,4935,,$1000 to 2999,,Pretty happy,4935.0
3966,3966,43178,,$15000 - 19999,,,43178.0
3967,3967,30841,,$10000 - 14999,,Not too happy,30841.0
3968,3968,8636,,$3000 to 3999,,Pretty happy,8636.0
3969,3969,30841,,$10000 - 14999,,Pretty happy,30841.0
3971,3971,4935,,$1000 to 2999,,Pretty happy,4935.0
3972,3972,22206,,$8000 to 9999,,Very happy,22206.0
3975,3975,4935,,$1000 to 2999,,Pretty happy,4935.0
3976,3976,55515,,$20000 - 24999,,Very happy,55515.0
3980,3980,8636,,$3000 to 3999,,Pretty happy,8636.0
3982,3982,43178,,$15000 - 19999,,Pretty happy,43178.0
3983,3983,4935,,$1000 to 2999,,Pretty happy,4935.0
3985,3985,1234,,Lt $1000,,Pretty happy,1234.0
3986,3986,43178,,$15000 - 19999,,Not too happy,43178.0
3988,3988,11103,,$4000 to 4999,,Not too happy,11103.0
3989,3989,11103,,$4000 to 4999,,Pretty happy,11103.0
3990,3990,18505,,$7000 to 7999,,Not too happy,18505.0
3992,3992,22206,,$8000 to 9999,,Not too happy,22206.0
3995,3995,18505,,$7000 to 7999,,Pretty happy,18505.0
3996,3996,30841,,$10000 - 14999,,Pretty happy,30841.0
3997,3997,11103,,$4000 to 4999,,Not too happy,11103.0
3998,3998,4935,,$1000 to 2999,,Very happy,4935.0
3999,3999,4935,,$1000 to 2999,,Pretty happy,4935.0
4000,4000,43178,,$15000 - 19999,,Very happy,43178.0
4005,4005,16038,,$6000 to 6999,,Pretty happy,16038.0
4006,4006,8636,,$3000 to 3999,,Not too happy,8636.0
4007,4007,30841,,$10000 - 14999,,Pretty happy,30841.0
4010,4010,22206,,$8000 to 9999,,Pretty happy,22206.0
4012,4012,30841,,$10000 - 14999,,Very happy,30841.0
4013,4013,43178,,$15000 - 19999,,Pretty happy,43178.0
4014,4014,30841,,$10000 - 14999,,Not too happy,30841.0
4015,4015,22206,,$8000 to 9999,,Pretty happy,22206.0
4016,4016,96450,,$25000 or more,,Pretty happy,96450.0
4017,4017,96450,,$25000 or more,,Very happy,96450.0
4019,4019,8636,,$3000 to 3999,,Very happy,8636.0
4020,4020,4935,,$1000 to 2999,,Pretty happy,4935.0
4022,4022,22206,,$8000 to 9999,,Pretty happy,22206.0
4025,4025,16038,,$6000 to 6999,,Pretty happy,16038.0
4026,4026,30841,,$10000 - 14999,,Pretty happy,30841.0
4027,4027,30841,,$10000 - 14999,,Pretty happy,30841.0
4029,4029,4935,,$1000 to 2999,,Very happy,4935.0
4030,4030,16038,,$6000 to 6999,,Pretty happy,16038.0
4032,4032,11103,,$4000 to 4999,,Pretty happy,11103.0
4034,4034,4935,,$1000 to 2999,,Very happy,4935.0
4035,4035,8636,,$3000 to 3999,,Very happy,8636.0
4036,4036,96450,,$25000 or more,,Pretty happy,96450.0
4037,4037,96450,,$25000 or more,,Pretty happy,96450.0
4040,4040,1234,,Lt $1000,,Very happy,1234.0
4041,4041,11103,,$4000 to 4999,,Pretty happy,11103.0
4042,4042,1234,,Lt $1000,,Pretty happy,1234.0
4045,4045,11103,,$4000 to 4999,,Very happy,11103.0
4046,4046,30841,,$10000 - 14999,,Very happy,30841.0
4049,4049,4935,,$1000 to 2999,,Pretty happy,4935.0
4050,4050,13570,,$5000 to 5999,,Pretty happy,13570.0
4051,4051,30841,,$10000 - 14999,,Pretty happy,30841.0
4052,4052,43178,,$15000 - 19999,,Very happy,43178.0
4055,4055,11103,,$4000 to 4999,,Very happy,11103.0
4056,4056,18505,,$7000 to 7999,,Very happy,18505.0
4057,4057,18505,,$7000 to 7999,,Pretty happy,18505.0
4058,4058,22206,,$8000 to 9999,,Pretty happy,22206.0
4061,4061,4935,,$1000 to 2999,,Very happy,4935.0
4062,4062,30841,,$10000 - 14999,,Pretty happy,30841.0
4065,4065,4935,,$1000 to 2999,,Pretty happy,4935.0
4066,4066,11103,,$4000 to 4999,,Pretty happy,11103.0
4070,4070,11103,,$4000 to 4999,,Not too happy,11103.0
4071,4071,4935,,$1000 to 2999,,Very happy,4935.0
4073,4073,22206,,$8000 to 9999,,Very happy,22206.0
4075,4075,13570,,$5000 to 5999,,Pretty happy,13570.0
4077,4077,4935,,$1000 to 2999,,Pretty happy,4935.0
4086,4086,4935,,$1000 to 2999,,Pretty happy,4935.0
4090,4090,13570,,$5000 to 5999,,Pretty happy,13570.0
4091,4091,22206,,$8000 to 9999,,Pretty happy,22206.0
4092,4092,55515,,$20000 - 24999,,Very happy,55515.0
4095,4095,4935,,$1000 to 2999,,Very happy,4935.0
4097,4097,43178,,$15000 - 19999,,Pretty happy,43178.0
4100,4100,13570,,$5000 to 5999,,Pretty happy,13570.0
4101,4101,18505,,$7000 to 7999,,Pretty happy,18505.0
4102,4102,18505,,$7000 to 7999,,Very happy,18505.0
4105,4105,11103,,$4000 to 4999,,Not too happy,11103.0
4106,4106,30841,,$10000 - 14999,,Very happy,30841.0
4111,4111,30841,,$10000 - 14999,,Pretty happy,30841.0
4112,4112,16038,,$6000 to 6999,,Very happy,16038.0
4113,4113,96450,,$25000 or more,,Very happy,96450.0
4115,4115,22206,,$8000 to 9999,60,Very happy,22206.0
4116,4116,4935,,$1000 to 2999,,Pretty happy,4935.0
4117,4117,43178,,$15000 - 19999,40,Very happy,43178.0
4120,4120,11103,,$4000 to 4999,,Pretty happy,11103.0
4121,4121,30841,,$10000 - 14999,,Not too happy,30841.0
4122,4122,4935,,$1000 to 2999,,Very happy,4935.0
4125,4125,1234,,Lt $1000,,Very happy,1234.0
4126,4126,1234,,Lt $1000,,Pretty happy,1234.0
4127,4127,1234,,Lt $1000,,Not too happy,1234.0
4128,4128,22206,,$8000 to 9999,,Very happy,22206.0
4130,4130,4935,,$1000 to 2999,,Not too happy,4935.0
4131,4131,30841,,$10000 - 14999,,Pretty happy,30841.0
4137,4137,4935,,$1000 to 2999,,Very happy,4935.0
4140,4140,1234,,Lt $1000,,Pretty happy,1234.0
4141,4141,18505,,$7000 to 7999,,Very happy,18505.0
4142,4142,18505,,$7000 to 7999,,Pretty happy,18505.0
4146,4146,43178,,$15000 - 19999,,Pretty happy,43178.0
4148,4148,4935,,$1000 to 2999,,Pretty happy,4935.0
4149,4149,4935,,$1000 to 2999,,Not too happy,4935.0
4150,4150,16038,,$6000 to 6999,,Pretty happy,16038.0
4151,4151,16038,,$6000 to 6999,,Not too happy,16038.0
4152,4152,30841,,$10000 - 14999,,Pretty happy,30841.0
4153,4153,1234,,Lt $1000,,Pretty happy,1234.0
4155,4155,11103,,$4000 to 4999,,Very happy,11103.0
4156,4156,55515,,$20000 - 24999,,Very happy,55515.0
4157,4157,55515,,$20000 - 24999,,Pretty happy,55515.0
4159,4159,4935,,$1000 to 2999,,Very happy,4935.0
4160,4160,8636,,$3000 to 3999,,Very happy,8636.0
4161,4161,16038,,$6000 to 6999,,Very happy,16038.0
4162,4162,43178,,$15000 - 19999,,Very happy,43178.0
4165,4165,16038,,$6000 to 6999,,Very happy,16038.0
4167,4167,30841,,$10000 - 14999,,Very happy,30841.0
4170,4170,18505,,$7000 to 7999,,Pretty happy,18505.0
4175,4175,4935,,$1000 to 2999,,Pretty happy,4935.0
4176,4176,1234,,Lt $1000,,Pretty happy,1234.0
4177,4177,16038,,$6000 to 6999,,Not too happy,16038.0
4179,4179,4935,,$1000 to 2999,,Not too happy,4935.0
4180,4180,4935,,$1000 to 2999,,Pretty happy,4935.0
4181,4181,1234,,Lt $1000,,Pretty happy,1234.0
4182,4182,22206,,$8000 to 9999,,Very happy,22206.0
4185,4185,8636,,$3000 to 3999,40,Very happy,8636.0
4187,4187,8636,,$3000 to 3999,,Very happy,8636.0
4190,4190,4935,,$1000 to 2999,,Very happy,4935.0
4191,4191,13570,,$5000 to 5999,,Very happy,13570.0
4192,4192,18505,,$7000 to 7999,32,Very happy,18505.0
4195,4195,1234,,Lt $1000,,Pretty happy,1234.0
4196,4196,22206,,$8000 to 9999,,Pretty happy,22206.0
4197,4197,30841,,$10000 - 14999,,Pretty happy,30841.0
4199,4199,4935,,$1000 to 2999,,Pretty happy,4935.0
4200,4200,13570,,$5000 to 5999,,Pretty happy,13570.0
4201,4201,4935,,$1000 to 2999,,Pretty happy,4935.0
4202,4202,22206,,$8000 to 9999,,Not too happy,22206.0
4205,4205,16038,,$6000 to 6999,,Pretty happy,16038.0
4206,4206,30841,,$10000 - 14999,,Not too happy,30841.0
4211,4211,30841,,$10000 - 14999,,Very happy,30841.0
4212,4212,43178,,$15000 - 19999,,Very happy,43178.0
4213,4213,30841,,$10000 - 14999,,Not too happy,30841.0
4215,4215,16038,,$6000 to 6999,,Pretty happy,16038.0
4216,4216,22206,,$8000 to 9999,,Very happy,22206.0
4217,4217,30841,,$10000 - 14999,,Very happy,30841.0
4220,4220,8636,,$3000 to 3999,,Very happy,8636.0
4224,4224,4935,,$1000 to 2999,,Pretty happy,4935.0
4225,4225,4935,,$1000 to 2999,,Very happy,4935.0
4226,4226,30841,,$10000 - 14999,,Pretty happy,30841.0
4227,4227,30841,,$10000 - 14999,,Very happy,30841.0
4229,4229,11103,,$4000 to 4999,,Not too happy,11103.0
4230,4230,4935,,$1000 to 2999,,Very happy,4935.0
4233,4233,22206,,$8000 to 9999,,Very happy,22206.0
4235,4235,16038,,$6000 to 6999,,Pretty happy,16038.0
4239,4239,30841,,$10000 - 14999,,Very happy,30841.0
4240,4240,1234,,Lt $1000,,Very happy,1234.0
4241,4241,43178,,$15000 - 19999,,Pretty happy,43178.0
4242,4242,43178,,$15000 - 19999,,Pretty happy,43178.0
4245,4245,11103,,$4000 to 4999,,Pretty happy,11103.0
4246,4246,13570,,$5000 to 5999,,Pretty happy,13570.0
4247,4247,96450,,$25000 or more,,Pretty happy,96450.0
4248,4248,96450,,$25000 or more,,Very happy,96450.0
4249,4249,1234,,Lt $1000,,Pretty happy,1234.0
4252,4252,8636,,$3000 to 3999,,Pretty happy,8636.0
4253,4253,16038,,$6000 to 6999,,Pretty happy,16038.0
4255,4255,4935,,$1000 to 2999,,Very happy,4935.0
4256,4256,4935,,$1000 to 2999,,Pretty happy,4935.0
4257,4257,4935,,$1000 to 2999,,Pretty happy,4935.0
4258,4258,30841,,$10000 - 14999,,Pretty happy,30841.0
4260,4260,1234,,Lt $1000,,Pretty happy,1234.0
4261,4261,30841,,$10000 - 14999,40,Not too happy,30841.0
4262,4262,43178,,$15000 - 19999,,Very happy,43178.0
4265,4265,11103,,$4000 to 4999,,Very happy,11103.0
4266,4266,18505,,$7000 to 7999,,Pretty happy,18505.0
4267,4267,30841,,$10000 - 14999,,Very happy,30841.0
4271,4271,22206,,$8000 to 9999,,Very happy,22206.0
4272,4272,30841,,$10000 - 14999,,Pretty happy,30841.0
4274,4274,96450,,$25000 or more,,Pretty happy,96450.0
4275,4275,11103,,$4000 to 4999,,Very happy,11103.0
4276,4276,11103,,$4000 to 4999,,Pretty happy,11103.0
4277,4277,96450,,$25000 or more,,Pretty happy,96450.0
4278,4278,30841,,$10000 - 14999,,Very happy,30841.0
4279,4279,1234,,Lt $1000,,Pretty happy,1234.0
4280,4280,4935,,$1000 to 2999,,Pretty happy,4935.0
4281,4281,30841,,$10000 - 14999,,Pretty happy,30841.0
4282,4282,30841,,$10000 - 14999,,Pretty happy,30841.0
4284,4284,8636,,$3000 to 3999,,Pretty happy,8636.0
4286,4286,30841,,$10000 - 14999,,Very happy,30841.0
4289,4289,1234,,Lt $1000,,Pretty happy,1234.0
4290,4290,4935,,$1000 to 2999,,Very happy,4935.0
4291,4291,22206,,$8000 to 9999,,Not too happy,22206.0
4294,4294,1234,,Lt $1000,,Very happy,1234.0
4295,4295,18505,,$7000 to 7999,,Pretty happy,18505.0
4296,4296,22206,,$8000 to 9999,,Very happy,22206.0
4297,4297,22206,,$8000 to 9999,,Very happy,22206.0
4299,4299,18505,,$7000 to 7999,,Very happy,18505.0
4300,4300,22206,,$8000 to 9999,,Not too happy,22206.0
4301,4301,4935,,$1000 to 2999,,Pretty happy,4935.0
4303,4303,43178,,$15000 - 19999,,Very happy,43178.0
4304,4304,13570,,$5000 to 5999,,Pretty happy,13570.0
4306,4306,11103,,$4000 to 4999,,Pretty happy,11103.0
4310,4310,8636,,$3000 to 3999,,Very happy,8636.0
4312,4312,1234,,Lt $1000,,Not too happy,1234.0
4315,4315,4935,,$1000 to 2999,,Pretty happy,4935.0
4316,4316,96450,,$25000 or more,,Pretty happy,96450.0
4317,4317,96450,,$25000 or more,,Pretty happy,96450.0
4319,4319,4935,,$1000 to 2999,,Very happy,4935.0
4320,4320,18505,,$7000 to 7999,,Very happy,18505.0
4321,4321,30841,,$10000 - 14999,,Pretty happy,30841.0
4322,4322,43178,,$15000 - 19999,,Very happy,43178.0
4326,4326,22206,,$8000 to 9999,,Pretty happy,22206.0
4327,4327,43178,,$15000 - 19999,40,Pretty happy,43178.0
4330,4330,13570,,$5000 to 5999,,Pretty happy,13570.0
4332,4332,13570,,$5000 to 5999,,Pretty happy,13570.0
4334,4334,1234,,Lt $1000,,Very happy,1234.0
4335,4335,11103,,$4000 to 4999,,Very happy,11103.0
4336,4336,43178,,$15000 - 19999,,Pretty happy,43178.0
4337,4337,30841,,$10000 - 14999,,Very happy,30841.0
4341,4341,8636,,$3000 to 3999,,Pretty happy,8636.0
4342,4342,18505,,$7000 to 7999,,Very happy,18505.0
4345,4345,13570,,$5000 to 5999,,Very happy,13570.0
4346,4346,30841,,$10000 - 14999,,Not too happy,30841.0
4347,4347,43178,,$15000 - 19999,,Very happy,43178.0
4348,4348,55515,,$20000 - 24999,,Pretty happy,55515.0
4350,4350,13570,,$5000 to 5999,,Pretty happy,13570.0
4352,4352,30841,,$10000 - 14999,,Very happy,30841.0
4356,4356,1234,,Lt $1000,,Pretty happy,1234.0
4357,4357,22206,,$8000 to 9999,,Pretty happy,22206.0
4358,4358,30841,,$10000 - 14999,,Pretty happy,30841.0
4360,4360,1234,,Lt $1000,40,Pretty happy,1234.0
4365,4365,1234,,Lt $1000,,Very happy,1234.0
4367,4367,55515,,$20000 - 24999,,Very happy,55515.0
4368,4368,4935,,$1000 to 2999,,Very happy,4935.0
4370,4370,30841,,$10000 - 14999,,Very happy,30841.0
4371,4371,22206,,$8000 to 9999,,Pretty happy,22206.0
4372,4372,96450,,$25000 or more,,Very happy,96450.0
4375,4375,18505,,$7000 to 7999,,Very happy,18505.0
4376,4376,30841,,$10000 - 14999,,Very happy,30841.0
4377,4377,96450,,$25000 or more,,Not too happy,96450.0
4379,4379,8636,,$3000 to 3999,,Pretty happy,8636.0
4380,4380,1234,,Lt $1000,,Very happy,1234.0
4381,4381,16038,,$6000 to 6999,,Pretty happy,16038.0
4382,4382,11103,,$4000 to 4999,,Pretty happy,11103.0
4385,4385,1234,,Lt $1000,,Very happy,1234.0
4386,4386,8636,,$3000 to 3999,,Pretty happy,8636.0
4390,4390,4935,,$1000 to 2999,,Pretty happy,4935.0
4391,4391,8636,,$3000 to 3999,,Not too happy,8636.0
4392,4392,18505,,$7000 to 7999,,Pretty happy,18505.0
4396,4396,8636,,$3000 to 3999,,Not too happy,8636.0
4397,4397,30841,,$10000 - 14999,,Pretty happy,30841.0
4398,4398,11103,,$4000 to 4999,,Pretty happy,11103.0
4399,4399,22206,,$8000 to 9999,,Pretty happy,22206.0
4401,4401,43178,,$15000 - 19999,,Very happy,43178.0
4402,4402,55515,,$20000 - 24999,,Very happy,55515.0
4405,4405,22206,,$8000 to 9999,,Very happy,22206.0
4406,4406,16038,,$6000 to 6999,,Pretty happy,16038.0
4407,4407,30841,,$10000 - 14999,,Pretty happy,30841.0
4408,4408,1234,,Lt $1000,,Not too happy,1234.0
4410,4410,11103,,$4000 to 4999,,Very happy,11103.0
4411,4411,1234,,Lt $1000,,Pretty happy,1234.0
4412,4412,13570,,$5000 to 5999,,Very happy,13570.0
4415,4415,11103,,$4000 to 4999,,Pretty happy,11103.0
4416,4416,16038,,$6000 to 6999,,Pretty happy,16038.0
4419,4419,4935,,$1000 to 2999,,Not too happy,4935.0
4421,4421,30841,,$10000 - 14999,,Very happy,30841.0
4422,4422,18505,,$7000 to 7999,,Pretty happy,18505.0
4423,4423,18505,,$7000 to 7999,,Pretty happy,18505.0
4426,4426,4935,,$1000 to 2999,,Pretty happy,4935.0
4427,4427,1234,,Lt $1000,,Not too happy,1234.0
4432,4432,1234,,Lt $1000,,Not too happy,1234.0
4434,4434,1234,,Lt $1000,,Not too happy,1234.0
4435,4435,13570,,$5000 to 5999,,Very happy,13570.0
4436,4436,16038,,$6000 to 6999,,Very happy,16038.0
4438,4438,30841,,$10000 - 14999,,Very happy,30841.0
4440,4440,13570,,$5000 to 5999,,Not too happy,13570.0
4441,4441,16038,,$6000 to 6999,,Not too happy,16038.0
4443,4443,30841,,$10000 - 14999,,Not too happy,30841.0
4447,4447,13570,,$5000 to 5999,,Pretty happy,13570.0
4450,4450,22206,,$8000 to 9999,,Very happy,22206.0
4451,4451,30841,,$10000 - 14999,,Very happy,30841.0
4452,4452,30841,,$10000 - 14999,,Very happy,30841.0
4453,4453,55515,,$20000 - 24999,,Pretty happy,55515.0
4457,4457,22206,,$8000 to 9999,,Not too happy,22206.0
4458,4458,30841,,$10000 - 14999,,Very happy,30841.0
4461,4461,11103,,$4000 to 4999,,Pretty happy,11103.0
4462,4462,18505,,$7000 to 7999,,Pretty happy,18505.0
4465,4465,4935,,$1000 to 2999,,Not too happy,4935.0
4466,4466,16038,,$6000 to 6999,,Very happy,16038.0
4470,4470,11103,,$4000 to 4999,,Pretty happy,11103.0
4471,4471,18505,,$7000 to 7999,,Very happy,18505.0
4472,4472,16038,,$6000 to 6999,,Very happy,16038.0
4473,4473,13570,,$5000 to 5999,,Very happy,13570.0
4476,4476,43178,,$15000 - 19999,,Very happy,43178.0
4477,4477,30841,,$10000 - 14999,,Pretty happy,30841.0
4479,4479,22206,,$8000 to 9999,40,Pretty happy,22206.0
4480,4480,4935,,$1000 to 2999,,Very happy,4935.0
4481,4481,18505,,$7000 to 7999,,Not too happy,18505.0
4486,4486,30841,,$10000 - 14999,,Very happy,30841.0
4487,4487,1234,,Lt $1000,,Pretty happy,1234.0
4489,4489,43178,,$15000 - 19999,,Pretty happy,43178.0
4492,4492,43178,,$15000 - 19999,40,Very happy,43178.0
4506,4506,16038,,$6000 to 6999,,Pretty happy,16038.0
4511,4511,4935,,$1000 to 2999,,Pretty happy,4935.0
4512,4512,22206,,$8000 to 9999,,Very happy,22206.0
4516,4516,11103,,$4000 to 4999,,Not too happy,11103.0
4517,4517,30841,,$10000 - 14999,,Very happy,30841.0
4519,4519,4935,,$1000 to 2999,,Very happy,4935.0
4525,4525,13570,,$5000 to 5999,,Pretty happy,13570.0
4526,4526,4935,,$1000 to 2999,,Very happy,4935.0
4530,4530,4935,,$1000 to 2999,,Pretty happy,4935.0
4531,4531,22206,,$8000 to 9999,,Pretty happy,22206.0
4536,4536,16038,,$6000 to 6999,,Pretty happy,16038.0
4537,4537,22206,,$8000 to 9999,,Pretty happy,22206.0
4539,4539,4935,,$1000 to 2999,,Very happy,4935.0
4540,4540,4935,,$1000 to 2999,,Pretty happy,4935.0
4541,4541,18505,,$7000 to 7999,,Very happy,18505.0
4542,4542,13570,,$5000 to 5999,,Pretty happy,13570.0
4544,4544,13570,,$5000 to 5999,,Pretty happy,13570.0
4545,4545,16038,,$6000 to 6999,,Pretty happy,16038.0
4550,4550,1234,,Lt $1000,,Pretty happy,1234.0
4551,4551,11103,,$4000 to 4999,40,Very happy,11103.0
4553,4553,30841,,$10000 - 14999,,Pretty happy,30841.0
4554,4554,4935,,$1000 to 2999,,Very happy,4935.0
4557,4557,22206,,$8000 to 9999,,Very happy,22206.0
4560,4560,1234,,Lt $1000,,Very happy,1234.0
4561,4561,22206,,$8000 to 9999,,Very happy,22206.0
4562,4562,30841,,$10000 - 14999,,Pretty happy,30841.0
4563,4563,4935,,$1000 to 2999,,Not too happy,4935.0
4565,4565,11103,,$4000 to 4999,,Not too happy,11103.0
4566,4566,55515,,$20000 - 24999,,Very happy,55515.0
4567,4567,22206,,$8000 to 9999,,Very happy,22206.0
4570,4570,4935,,$1000 to 2999,,Pretty happy,4935.0
4571,4571,22206,,$8000 to 9999,,Not too happy,22206.0
4573,4573,16038,,$6000 to 6999,,Very happy,16038.0
4575,4575,11103,,$4000 to 4999,,Pretty happy,11103.0
4577,4577,43178,,$15000 - 19999,,Pretty happy,43178.0
4578,4578,30841,,$10000 - 14999,,Very happy,30841.0
4580,4580,13570,,$5000 to 5999,,Pretty happy,13570.0
4581,4581,22206,,$8000 to 9999,,Pretty happy,22206.0
4582,4582,22206,,$8000 to 9999,,Pretty happy,22206.0
4585,4585,18505,,$7000 to 7999,,Very happy,18505.0
4589,4589,11103,,$4000 to 4999,,Pretty happy,11103.0
4590,4590,8636,,$3000 to 3999,,Not too happy,8636.0
4591,4591,18505,,$7000 to 7999,,Pretty happy,18505.0
4592,4592,30841,,$10000 - 14999,,Very happy,30841.0
4593,4593,43178,,$15000 - 19999,,Very happy,43178.0
4595,4595,8636,,$3000 to 3999,,Very happy,8636.0
4596,4596,30841,,$10000 - 14999,,Pretty happy,30841.0
4597,4597,8636,,$3000 to 3999,,Pretty happy,8636.0
4599,4599,8636,,$3000 to 3999,,Pretty happy,8636.0
4600,4600,4935,,$1000 to 2999,,Pretty happy,4935.0
4601,4601,12229,,$5000 to 5999,,Pretty happy,12229.0
4603,4603,12229,,$5000 to 5999,,Not too happy,12229.0
4604,4604,4447,,$1000 to 2999,,Pretty happy,4447.0
4605,4605,50027,,$20000 - 24999,,Very happy,50027.0
4606,4606,27793,,$10000 - 14999,,Very happy,27793.0
4607,4607,1112,,Lt $1000,,Pretty happy,1112.0
4609,4609,27793,,$10000 - 14999,,Pretty happy,27793.0
4610,4610,27793,,$10000 - 14999,,Pretty happy,27793.0
4611,4611,38910,,$15000 - 19999,,Very happy,38910.0
4612,4612,14452,,$6000 to 6999,,Very happy,14452.0
4613,4613,20011,,$8000 to 9999,,Pretty happy,20011.0
4614,4614,27793,,$10000 - 14999,,Very happy,27793.0
4615,4615,1112,,Lt $1000,,Pretty happy,1112.0
4616,4616,20011,,$8000 to 9999,40,Pretty happy,20011.0
4617,4617,27793,,$10000 - 14999,,Pretty happy,27793.0
4618,4618,12229,,$5000 to 5999,,Pretty happy,12229.0
4619,4619,4447,,$1000 to 2999,,Pretty happy,4447.0
4620,4620,4447,,$1000 to 2999,,Pretty happy,4447.0
4622,4622,14452,,$6000 to 6999,,Pretty happy,14452.0
4623,4623,38910,,$15000 - 19999,,Pretty happy,38910.0
4624,4624,10005,,$4000 to 4999,,Not too happy,10005.0
4625,4625,16676,,$7000 to 7999,,Pretty happy,16676.0
4626,4626,10005,,$4000 to 4999,,Not too happy,10005.0
4627,4627,14452,,$6000 to 6999,,Pretty happy,14452.0
4628,4628,10005,,$4000 to 4999,,Very happy,10005.0
4629,4629,27793,,$10000 - 14999,,Pretty happy,27793.0
4631,4631,75863,,$25000 or more,,Pretty happy,75863.0
